COD_SIM,ID_EST,NTS_LEC_10,NTS_MAT_10,RAN_NOT_10,NTS_LEC_11,NTS_MAT_11,RAN_NOT_11,TEXTO 1,TEXTO 2,TEXTO 3,TEXTO 4,NTS_LEC_10,NTS_MAT_10,RAN_NOT_10,NTS_LEC_11,NTS_MAT_11,RAN_NOT_11,NTS_LEC_10,NTS_MAT_10,NTS_LEC_11,NTS_MAT_11,Constante 0-5 para 0-10,Comparador 0-10,NTS_LEC_10,NTS_MAT_10,NTS_LEC_11,NTS_MAT_11,,,NTS_LEC_10,CUAL_NTS_LEC_10,CUAN_CON_PROM_NTS_LEC_10,NTS_MAT_10,CUAL_NTS_MAT_10,CUAN_CON_PROM_NTS_MAT_10,RAN_NOT_10,NTS_LEC_11,CUAL_NTS_LEC_10,CUAN_CON_PROM_NTS_LEC_10,NTS_MAT_11,CUAL_NTS_MAT_11,CUAN_CON_PROM_NTS_MAT_11,RAN_NOT_11,SUPERIOR,ALTO,BASICO,BAJO
817001,16537253,SOBRESALIENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,EXCELENTE,EXCELENTE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,"0,5",0-10,SOBRESALIENTE,EXCELENTE,EXCELENTE,SOBRESALIENTE,,,ALTO,ALTO,4.25,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
270025,31579836,SOBRESALIENTE,BUENO,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",SATISFACTORIO,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",SOBRESALIENTE,BUENO,SATISFACTORIO,ACEPTABLE,,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",0,0,0,0,,,SOBRESALIENTE,BUENO,SATISFACTORIO,ACEPTABLE,,,ALTO,ALTO,4.25,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",ALTO,ALTO,4.25,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
817007,14623317,NO TIENE,NO TIENE,,NO TIENE,NO TIENE,,NO TIENE,NO TIENE,NO TIENE,NO TIENE,,,,,,,0,0,0,0,,,NO TIENE,NO TIENE,NO TIENE,NO TIENE,,,,,,,,,,,,,,,,,,,,
11207001,14624142,BUENO,BUENO,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",BUENO,BUENO,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",BUENO,BUENO,BUENO,BUENO,,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",0,0,0,0,,,BUENO,BUENO,BUENO,BUENO,,,BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
228012,86032551191,EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,EXCELENTE,EXCELENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,EXCELENTE,SOBRESALIENTE,EXCELENTE,EXCELENTE,,,SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",,,,
8207024,1130629119,SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
10203022,94552219,4.0,4.7,0-5,4.2,4.9,0-5,4,04/07/2018,04/02/2018,04/09/2018,"4,00",4.7,0-5,4.2,4.9,0-5,4,4.7,4.2,4.9,,,4,4.7,4.2,4.9,,,"4,00",ALTO,"4,00",4.7,SUPERIOR,4.7,0-5,"4,2",ALTO,"4,2",4.9,SUPERIOR,4.9,0-5,,,,
9203040,1020715025,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,,,NO TIENE,,,NO TIENE,0,0,0,0,,,NO TIENE,NO TIENE,NO TIENE,NO TIENE,,,,,,,,,,,,,,,,,,,,
9107006,1144127926,EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,EXCELENTE,EXCELENTE,EXCELENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,EXCELENTE,EXCELENTE,EXCELENTE,EXCELENTE,,,SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",,,,
13107008,1130636270,ACEPTABLE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",ACEPTABLE,EXCELENTE,EXCELENTE,EXCELENTE,,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",0,0,0,0,,,ACEPTABLE,EXCELENTE,EXCELENTE,EXCELENTE,,,BASICO,BASICO,3.5,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",,,,
